Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_08_371.jpg;0;0;1;0;99.66999;85.58897;0.000235871;56.82556;-2.291937E-07
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_08_431.jpg;0;0;0;0;99.66999;85.58897;0.0002360756;56.82556;-1.682639E-07
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_08_502.jpg;0;0;0;0;99.66999;85.58897;0.0002362497;56.82556;-5.048177E-09
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_08_568.jpg;0;0;0;0;99.66999;85.58897;0.0002361583;56.82556;3.017898E-07
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_08_635.jpg;0;0;0;0;99.66999;85.58897;0.000236204;56.82556;1.483708E-07
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_08_702.jpg;0;0;0;0;99.66999;85.58897;0.0002361735;56.82556;2.506501E-07
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_08_769.jpg;0;0;0;0;99.66999;85.58897;0.0002362192;56.82556;9.723114E-08
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_08_835.jpg;0;0;0;0;99.66999;85.58897;0.0002361735;56.82556;2.506501E-07
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_08_902.jpg;0;0;0;0;99.66999;85.58897;0.000236204;56.82556;1.483708E-07
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_08_969.jpg;0;0;0;0;99.66999;85.58897;0.000236204;56.82556;1.483708E-07
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_09_035.jpg;0;0;0;0;99.66999;85.58897;0.000236204;56.82556;1.483708E-07
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_09_103.jpg;0;0;0;0;99.66999;85.58897;0.0002362344;56.82556;4.609148E-08
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_09_169.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_09_235.jpg;0;0;0;0;99.66999;85.58897;0.0002362344;56.82556;4.609148E-08
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_09_302.jpg;0;0;0;0;99.66999;85.58897;0.0002361735;56.82556;2.506501E-07
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_09_369.jpg;0;0;0;0;99.66999;85.58897;0.0002361169;56.82556;6.676621E-08
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_09_435.jpg;0;0;0;0;99.66999;85.58897;0.0002360603;56.82556;-1.171242E-07
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_09_503.jpg;0;0;0;0;99.66999;85.58897;0.0002358862;56.82556;-2.803334E-07
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_09_569.jpg;0;0;0;0;99.66999;85.58897;0.0002359319;56.82556;-4.337589E-07
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_09_636.jpg;0;0;0;0;99.66999;85.58897;0.0002358862;56.82556;-2.803334E-07
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_09_702.jpg;0;0.2005212;0;0;99.67007;85.5891;0.003287146;56.86872;-2.212255E-05
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_09_769.jpg;0;0.4034317;0;0;99.67105;85.59061;0.04225861;56.9406;-0.0001271431
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_09_835.jpg;0;0.6012366;0;0.05623567;99.67349;85.59437;0.1359985;56.86524;6.900245E-06
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_09_902.jpg;0;0.8001005;0;0.08571803;99.67924;85.60317;0.3434813;56.99776;-0.0005835247
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_09_969.jpg;0;1;0;0.1119096;99.68555;85.61282;0.5440619;56.94827;-0.0006705893
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_10_036.jpg;0;1;0;0.183128;99.6937;85.62534;0.7729544;57.07443;-0.001228438
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_10_102.jpg;0;1;0;0.2355859;99.7077;85.64674;1.11683;57.04538;-0.001224571
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_10_169.jpg;0;1;0;0.2931384;99.7197;85.66511;1.32604;57.09495;-0.002668997
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_10_236.jpg;0;1;0;0.3457255;99.73067;85.68165;1.245812;57.08163;-0.002032435
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_10_303.jpg;0;1;0;0.4148692;99.74817;85.70849;1.110908;57.17426;-0.000549133
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_10_369.jpg;0;1;0;0.4636018;99.76351;85.73217;1.07739;57.31836;-0.0003794894
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_10_436.jpg;0;1;0;0.5179455;99.78112;85.75936;1.10749;57.291;-7.399864E-05
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_10_503.jpg;0;1;0;0.5865538;99.80744;85.79991;1.201538;57.07328;0.0001683905
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_10_569.jpg;0;1;0;0.6210703;99.82869;85.83271;1.246997;57.11706;-0.0004546087
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_10_635.jpg;0;0.8994967;0;0.6925565;99.85072;85.86642;1.213302;57.04026;-0.0004254881
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_10_702.jpg;0;0.7013382;0;0.7266548;99.88256;85.91513;1.169349;57.00685;0.0002577866
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_10_769.jpg;0;0.4998607;0;0.7689605;99.90807;85.95408;1.165651;56.9922;-0.0003408329
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_10_835.jpg;0;0.301651;0;0.7959993;99.93417;85.99392;1.158025;56.9916;-0.0002526885
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_10_902.jpg;0;0.3009176;0;0.8062585;99.96927;86.04752;1.121294;56.98658;-0.0002071064
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_10_969.jpg;0;0.5009138;0;0.8201911;99.99641;86.08897;1.100009;56.98713;-0.0003575836
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_11_036.jpg;0;0.7014116;0;0.8537483;100.0247;86.13213;1.097885;56.98332;-0.0003159542
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_11_102.jpg;0;0.9021792;0;0.8971023;100.0644;86.19287;1.13367;56.98094;-0.0004203524
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_11_169.jpg;0;1;0;0.927137;100.0961;86.24121;1.193437;56.9752;-0.0004015208
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_11_235.jpg;0;1;0;0.9952654;100.1296;86.29238;1.264163;56.96852;-0.000996463
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_11_302.jpg;0;1;0;1.048392;100.1756;86.36253;1.261278;56.97212;-0.001203365
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_11_369.jpg;0;1;0;1.084957;100.2116;86.41739;1.224536;56.96753;-0.0008887678
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_11_435.jpg;0;1;0;1.156334;100.2498;86.47558;1.225911;56.96545;-0.000642505
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_11_503.jpg;0;1;0;1.202724;100.303;86.55666;1.228678;56.95414;-0.0005487023
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_11_569.jpg;0;1;0;1.249959;100.3447;86.62025;1.23273;56.92501;-0.00080775
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_11_635.jpg;0;1;0;1.314533;100.388;86.68619;1.236811;56.90094;-0.0007899779
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_11_703.jpg;0;1;0;1.361551;100.4481;86.77774;1.240101;56.87603;-0.0009085745
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_11_769.jpg;0;1;0;1.408623;100.4951;86.84916;1.242827;56.85867;-0.000922933
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_11_835.jpg;0;1;0;1.470265;100.5437;86.923;1.248697;56.84086;-0.0009082039
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_11_902.jpg;0;1;0;1.517018;100.611;87.02504;1.255624;56.82485;-0.0009550951
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_11_969.jpg;0;1;0;1.563621;100.6632;87.10426;1.259942;56.81486;-0.0009588327
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_12_035.jpg;0;1;0;1.626375;100.717;87.18576;1.262694;56.80472;-0.001005082
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_12_102.jpg;0;1;0;1.671796;100.7911;87.29803;1.266867;56.78999;-0.001023818
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_12_169.jpg;0;1;0;1.718582;100.8485;87.38495;1.272842;56.77879;-0.001050588
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_12_235.jpg;0;1;0;1.779723;100.9074;87.47411;1.275278;56.76667;-0.001036231
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_12_302.jpg;0;1;0;1.824425;100.9883;87.59657;1.282684;56.75358;-0.001075838
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_12_369.jpg;0;1;0;1.870701;101.0508;87.69101;1.284532;56.74152;-0.001073276
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_12_436.jpg;0;1;0;1.930914;101.1148;87.78775;1.290054;56.73112;-0.001106291
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_12_503.jpg;0;1;0;1.975994;101.2025;87.92021;1.296218;56.71543;-0.001124547
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_12_569.jpg;0;1;0;2.020925;101.27;88.02213;1.298688;56.7043;-0.001131567
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_12_635.jpg;0;1;0;2.080502;101.339;88.12628;1.302291;56.69401;-0.001173068
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_12_702.jpg;0;1;0;2.125087;101.4333;88.26859;1.306148;56.67913;-0.001192845
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_12_769.jpg;0;1;0;2.16953;101.5059;88.37791;1.309862;56.66643;-0.001194181
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_12_835.jpg;0;0.8979024;0;2.228184;101.5798;88.48941;1.314142;56.65668;-0.001231599
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_12_902.jpg;0;0.7008381;0;2.264846;101.6802;88.64063;1.305839;56.64305;-0.0006568025
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_12_969.jpg;0;0.5003961;0;2.292535;101.7565;88.75546;1.298574;56.62954;-0.0006142611
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_13_034.jpg;0;0.3013943;0;2.313882;101.8332;88.87076;1.273786;56.61504;-0.0005697413
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_13_102.jpg;0;0.1008804;0;2.319229;101.9351;89.02409;1.191609;56.59573;-0.000452331
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_13_170.jpg;0;0;0;2.316133;102.011;89.13818;1.085334;56.58195;-0.0003586759
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_13_235.jpg;0;0.09979348;0;2.306836;102.0864;89.25146;0.9471154;56.56894;-0.0001973821
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_13_302.jpg;0;0.2996371;0;2.306738;102.1869;89.40238;0.7521194;56.55244;6.844119E-06
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_13_369.jpg;0;0.5002507;0;2.31501;102.2628;89.51649;0.6263731;56.54125;0.0005542923
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_13_436.jpg;0;0.6997452;0;2.3404;102.3397;89.63216;0.5378082;56.53124;0.00129287
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_13_503.jpg;0;0.5001714;0;2.364043;102.4439;89.78896;0.4761831;56.51916;-3.960846E-05
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_13_569.jpg;0;0.3001972;0;2.380266;102.5228;89.90765;0.4484813;56.51218;-0.0001495217
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_13_635.jpg;0;0.09936067;0;2.387295;102.6017;90.02651;0.4166106;56.50623;-0.000163502
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_13_702.jpg;0;0;0;2.38239;102.7064;90.18418;0.3453951;56.4993;-4.95131E-05
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_13_768.jpg;0;0;0;2.37465;102.7844;90.30167;0.2710122;56.49489;0.001122651
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_13_835.jpg;0;0;0;2.364308;102.8619;90.41864;0.1842288;56.49249;0.006147258
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_13_903.jpg;0;0;0;2.356528;102.9647;90.57385;0.05571364;56.49217;0.01773205
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_13_969.jpg;0;0;0;2.348724;103.0414;90.68969;359.9512;56.49221;0.0256746
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_14_035.jpg;1.537536;0;0;2.338119;103.118;90.80531;359.8596;56.51683;0.02038719
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_14_102.jpg;4.510353;0;0;2.329388;103.2171;90.96088;359.757;56.99714;0.07037063
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_14_169.jpg;7.524947;0;0;2.319625;103.2881;91.07914;359.6987;57.75883;0.1664286
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_14_235.jpg;10.50553;0;0;2.30467;103.3558;91.19905;359.6657;58.85399;0.3115622
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_14_303.jpg;13.51003;0;0;2.29128;103.439;91.36189;359.6567;60.86187;0.6055101
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_14_368.jpg;15;0;0;2.276225;103.4959;91.48607;359.6851;62.66526;0.8811775
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_14_436.jpg;15;0;0;2.259943;103.5508;91.61233;359.8298;64.4299;1.07798
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_14_502.jpg;15;0;0;2.244728;103.6182;91.78247;0.07578935;66.83608;1.21846
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_14_569.jpg;15;0;0;2.233954;103.6641;91.90649;0.02276401;68.69638;1.125078
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_14_636.jpg;15;0;0;2.222041;103.7023;92.03109;359.8903;70.51036;1.065917
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_14_703.jpg;15;0;0;2.212105;103.7471;92.20039;359.8397;72.86456;1.017381
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_14_769.jpg;15;0;0;2.2011;103.7759;92.32908;359.8744;74.65543;1.001525
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_14_837.jpg;15;0;0;2.187112;103.8001;92.45847;359.9285;76.48151;1.034623
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_14_903.jpg;15;0;0;2.176902;103.8257;92.6314;0.01494251;78.95223;1.122686
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_14_970.jpg;15;0;0;2.166867;103.8407;92.75951;-0.000341903;80.78441;1.151775
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_15_037.jpg;15;0;0;2.154432;103.852;92.88745;359.987;82.58658;1.140233
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_15_102.jpg;15;0;0.1989431;2.134948;103.8601;93.0554;359.9304;84.95475;1.102745
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_15_169.jpg;13.44966;0;0.4015778;2.080663;103.862;93.17638;359.8353;86.59578;1.049721
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_15_236.jpg;10.46936;0;0.6002642;1.956014;103.8621;93.29045;359.6621;87.95837;0.9388754
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_15_303.jpg;7.493862;0;0.7986309;1.832755;103.8618;93.42727;359.2693;89.20805;0.6135654
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_15_369.jpg;4.488574;0;0.9989834;1.683468;103.8614;93.51823;358.8987;89.96545;0.223809
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_15_436.jpg;1.46716;0;1;1.459256;103.8591;93.59948;358.5038;90.43069;359.838
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_15_503.jpg;0;0;1;1.347909;103.8505;93.70078;358.2412;91.18625;359.6876
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_15_569.jpg;0;0;1;1.24229;103.842;93.77251;358.252;92.02484;359.7797
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_15_636.jpg;0;0;1;1.08416;103.831;93.84054;358.4768;93.09583;0.06882299
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_15_703.jpg;0;0;1;0.9641008;103.8227;93.92258;358.9697;94.26895;0.163023
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_15_770.jpg;1.980704;0;1;0.7467844;103.8204;93.96017;358.9012;94.36157;0.06230475
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_15_836.jpg;0;0;1;0.3542682;103.8197;93.97088;358.3379;94.37225;359.9741
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_15_903.jpg;0;0;0;0.1543359;103.8194;93.97122;357.7426;94.2243;0.05172937
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_15_969.jpg;0;0;0;0.08274532;103.8195;93.97136;357.5914;94.21823;0.0393895
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_16_035.jpg;0;0;0;-0.03462614;103.8195;93.9715;357.7534;94.23108;359.9788
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_16_103.jpg;0;0;0;-0.1234791;103.8194;93.97155;358.3827;94.23691;359.9932
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_16_170.jpg;0;0;0;-0.2037222;103.8194;93.9714;359.1064;94.23871;0.006779404
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_16_235.jpg;0;0;0;-0.2089632;103.8195;93.97111;359.8073;94.23868;0.01069149
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_16_303.jpg;0;0;0;-0.1943941;103.8195;93.97079;0.654957;94.23795;0.002764531
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_16_370.jpg;-1.497122;0;0;-0.1634011;103.8195;93.97061;1.172475;94.05914;359.973
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_16_436.jpg;-4.525708;0;0;-0.1172868;103.8194;93.97044;1.518286;93.4249;359.9923
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_16_503.jpg;-7.502221;0;0;-0.01718809;103.8203;93.97017;1.523288;91.83212;359.991
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_16_570.jpg;-10.52581;0;0;0.05485872;103.8205;93.97012;1.242559;90.03387;359.9857
C:\Users\rochester\Documents\UDAsity\Windows_Roversim\recorded\IMG\robocam_2017_10_08_23_51_16_636.jpg;-13.52441;0;0;0.1056045;103.8205;93.97023;0.8917462;87.78298;359.967
